Date;Symbol;Indexvalue
26.11.2019;V6I1;11.804
27.11.2019;V6I1;11.9499
28.11.2019;V6I1;12.6213
29.11.2019;V6I1;13.0925
02.12.2019;V6I1;16.8065
03.12.2019;V6I1;18.1135
04.12.2019;V6I1;16.1844
05.12.2019;V6I1;16.4801
06.12.2019;V6I1;14.7557
09.12.2019;V6I1;16.6507
10.12.2019;V6I1;17.0357
11.12.2019;V6I1;18.3516
12.12.2019;V6I1;18.497
13.12.2019;V6I1;14.091
16.12.2019;V6I1;13.4679
17.12.2019;V6I1;15.3285
18.12.2019;V6I1;16.37
23.12.2019;V6I1;11.1017
27.12.2019;V6I1;11.1213
30.12.2019;V6I1;13.3341
02.01.2020;V6I1;11.7338
03.01.2020;V6I1;13.4898
06.01.2020;V6I1;15.9108
07.01.2020;V6I1;14.8531
08.01.2020;V6I1;15.0563
09.01.2020;V6I1;13.194
10.01.2020;V6I1;11.3003
13.01.2020;V6I1;14.0822
14.01.2020;V6I1;13.7216
15.01.2020;V6I1;12.9651
20.01.2020;V6I1;11.4209
21.01.2020;V6I1;11.8713
22.01.2020;V6I1;12.2223
23.01.2020;V6I1;13.1
24.01.2020;V6I1;12.551
27.01.2020;V6I1;17.3858
28.01.2020;V6I1;15.2166
29.01.2020;V6I1;14.3155
30.01.2020;V6I1;16.62
31.01.2020;V6I1;17.53
03.02.2020;V6I1;16.4952
04.02.2020;V6I1;14.3435
05.02.2020;V6I1;13.2843
06.02.2020;V6I1;12.2684
07.02.2020;V6I1;12.5795
10.02.2020;V6I1;13.4862
11.02.2020;V6I1;12.1243
12.02.2020;V6I1;10.6603
13.02.2020;V6I1;12.54
14.02.2020;V6I1;12.039
17.02.2020;V6I1;12.2235
18.02.2020;V6I1;15.2976
19.02.2020;V6I1;12.5437
24.02.2020;V6I1;23.4259
25.02.2020;V6I1;28.9782
26.02.2020;V6I1;25.9032
27.02.2020;V6I1;38.322
28.02.2020;V6I1;47.3807
02.03.2020;V6I1;41.7241
03.03.2020;V6I1;38.3581
04.03.2020;V6I1;33.1338
05.03.2020;V6I1;37.8861
06.03.2020;V6I1;49.2556
09.03.2020;V6I1;68.9052
